,Share,Sector,Cap Category,Last Traded Price,High Price,Low Price,Yearly,Q1,Q2,Q3,Category
160,ZYDUSWELL,FMCG,SmallCap,866.1,869.95,853.15,26.03,6.97,6.61,6.01,YES
161,HSIL,REALTY-HOUSEHOLD,SmallCap,346.3,350.0,344.1,12.32,5.11,5.27,3.66,YES
162,DEN,MEDIA-ENTERTAINMENT,SmallCap,103.0,103.9,102.0,-14.64,-2.71,-4.79,-2.9,NO
163,INDIGO,AIRLINES,LargeCap,1123.9,1130.0,1075.0,56.49,18.43,15.93,16.27,YES
164,JKCEMENT,CEMENTS,MidCap,1024.5,1099.0,1018.1,9.06,2.44,10.09,8.7,YES
165,TIDEWATER,ENERGY-OIL & GAS,SmallCap,5924.05,5999.0,5939.5,259,302,16,79,YES
166,A2ZINFRA,INFRA-CONSTRUCTION ENGINEERING AND MATERIALS,MiniCap,47.85,50.5,47.8,-11.68,-0.51,0.46,-1.45,NO
167,RBLBANK,BANKS-PRIVATE,LargeCap,561.95,569.0,560.6,9.43,2.6,0,2.97,YES
168,APLAPOLLO,INFRA-MACHINERY EQUIPMENT,SmallCap,1459.55,1487.9,1412.55,42.91,13.29,11.73,17.68,YES
169,BALAMINES,CHEMICALS,SmallCap,390.85,397.0,388.45,17.78,4.11,7.2,8.13,YES
170,PUNJLLOYD,INFRA-CONSTRUCTION ENGINEERING AND MATERIALS,MiniCap,24.75,25.35,24.4,-67.61,-9.05,-14.09,-6.27,NO
171,JSWENERGY,INFRA-POWER,MidCap,69.8,70.85,67.4,8.88,1.9,1.75,2.25,NO
172,AMTEKAUTO,AUTO-AUTO ANCL AND COMPONENTS,MiniCap,39.15,39.85,38.25,-50.42,-5.88,-23.52,-14.22,NO
173,ASHIANA,REALTY,SmallCap,234.5,238.0,230.55,12.66,0.01,10.68,-0.36,YES
174,UPL,CHEMICALS,LargeCap,823.5,837.0,818.8,30.3,5.48,12.88,7.89,YES
175,KCPSUGIND,FMCG-SUGAR,MiniCap,35.7,36.1,35.65,1.05,0.56,0.64,0.97,YES
176,MANGALAM,PHARMA,MiniCap,193.45,194.45,186.0,10.13,2.4,3.5,3.22,NO
177,GPIL,METALS AND MINING,MiniCap,96.15,97.85,96.0,-29.57,-5.79,-12.02,-9.07,NO
178,BAJAJELEC,REALTY-HOUSEHOLD,SmallCap,351.2,357.0,351.2,9.45,2.9,3.44,2.26,YES
179,MTEDUCARE,IT,MiniCap,83.75,87.0,83.5,8.12,1.97,1.24,1.71,NO
180,NIITLTD,IT,SmallCap,84.5,85.9,82.5,4.01,-0.89,0.81,-0.79,NO
181,SHREYANIND,INFRA-CONSTRUCTION ENGINEERING AND MATERIALS,MiniCap,202.7,206.8,196.3,6.27,0.35,4.63,2.62,YES
182,GULFPETRO,ENERGY-OIL & GAS,MiniCap,92.2,93.6,90.6,2.67,0.35,1.09,1.54,YES
183,NHPC,INFRA-POWER,LargeCap,31.1,31.35,31.05,2.43,0.03,0.09,0.68,YES
184,LINCOLN,PHARMA,MiniCap,223.85,234.9,225.2,14.52,3.88,2.46,6.7,YES
185,ICICIBANK,BANKS-PRIVATE,LargeCap,298.65,302.5,299.55,17.41,5.34,0.69,0,YES
186,TALBROAUTO,AUTO-AUTO ANCL AND COMPONENTS,MiniCap,163.85,168.5,162.7,7.87,3.15,0.92,2.48,YES
187,NBCC,INFRA-CONSTRUCTION ENGINEERING AND MATERIALS,LargeCap,198.1,199.75,195.0,5.19,4.77,2.36,0.79,NO
188,TATAMETALI,METALS AND MINING,SmallCap,663.75,673.8,661.0,44.81,4.61,10.18,8.87,YES
189,KEI,INFRA-MACHINERY EQUIPMENT,SmallCap,235.1,238.0,222.05,7.98,1.87,2.55,2.13,YES
190,MOIL,METALS AND MINING,SmallCap,333.45,336.85,327.3,10.28,0.78,1.27,2.81,YES
191,CCL,FMCG-BEVERAGES,SmallCap,340.0,342.05,337.0,9.18,1.95,2.76,3.03,YES
192,PNBHOUSING,FINANCIAL SERVICES-NBFC,LargeCap,1332.35,1355.9,1276.6,27.58,7.12,0,7.49,YES
193,SASKEN,IT,MiniCap,412.3,418.0,410.85,18.46,6.35,2.2,8.81,YES
194,BGRENERGY,INFRA-MACHINERY EQUIPMENT,SmallCap,182.55,183.75,176.5,3.83,-1.17,3.87,1.25,YES
195,ATLANTA,INFRA-CONSTRUCTION ENGINEERING AND MATERIALS,MiniCap,114.35,115.25,111.5,-4.94,-0.22,1.52,3.42,NO
196,GLENMARK,PHARMA,LargeCap,887.9,908.85,888.05,26.46,6.95,5.28,8.03,YES
197,BALKRISIND,AUTO-TYRES AND TUBES,LargeCap,1554.7,1565.0,1504.05,59.58,14.06,16.02,15.42,YES
198,THERMAX,INFRA-MACHINERY EQUIPMENT,MidCap,1045.2,1070.0,1027.3,24.9,4.82,0,4.35,YES
199,NIITTECH,IT,SmallCap,527.3,531.0,512.1,45.55,7.96,5.12,9.36,YES
